# mode	prompt	expected_pattern	description	expected_route	primary_skill	supporting_skills
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Make this implementation in clean save points and keep the branch history reviewable.	build;aw-build;git-workflow-and-versioning	Git hygiene during implementation should stay in aw-build with git workflow support	build	aw-build	git-workflow-and-versioning
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Test the repaired Communities moderation API change and prove the regression guard still holds.	test;aw-test;quality-gates	Test intent selects aw-test plus quality-gate support	test	aw-test	platform-sdet:quality-gates
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Review this Communities moderation API PR and tell me if it is ready for staging.	review;aw-review;code-review-pr;quality-gates	Backend review intent selects aw-review plus review and quality gates	review	aw-review	platform-review:code-review-pr,platform-sdet:quality-gates
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Record why we chose this queueing model and update the docs the next engineer will need.	review;aw-review;documentation-and-adrs	Decision-capture work should resolve to aw-review with docs-and-adrs support	review	aw-review	documentation-and-adrs
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Take this Communities moderation API change through PR creation and staging version deployment.	ship;aw-ship;code-review-pr;staging-deploy	Backend ship intent selects aw-ship plus review and deploy support	ship	aw-ship	platform-review:code-review-pr,platform-infra:staging-deploy,platform-infra:production-readiness
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Create the implementation spec for the approved Communities feed MFA change.	plan;aw-plan;vue-development;design	Frontend planning intent selects aw-plan plus frontend/design domain support	plan	aw-plan	platform-design:system,platform-frontend:vue-development
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Plan the migration off the legacy webhook endpoint and show the deprecation path before we remove anything.	plan;aw-plan;deprecation-and-migration	Migration planning should resolve to aw-plan with deprecation support	plan	aw-plan	deprecation-and-migration
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Take the approved Communities feed MFA UI change forward and update the app accordingly.	build;aw-build;highrise;vue-development	Frontend build intent selects aw-build plus UI implementation support	build	aw-build	platform-frontend:vue-development,highrise-ui-governance,quality-gate-coder
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Test the approved Communities feed MFA UI change for responsive and accessibility regressions.	test;aw-test;a11y-review;quality-gates	Frontend test intent selects aw-test plus accessibility and quality-gate support	test	aw-test	platform-frontend:a11y-review,platform-sdet:quality-gates
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Review this Communities feed MFA PR and tell me if it is ready for staging.	review;aw-review;code-review-pr;a11y-review;design	Frontend review intent selects aw-review plus review, design, and accessibility support	review	aw-review	platform-review:code-review-pr,platform-design:review,platform-frontend:a11y-review,platform-sdet:quality-gates
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Deploy this verified Communities moderation API service to staging.	deploy;aw-deploy;staging-deploy;production-readiness	Backend deploy intent selects aw-deploy plus staging deploy support	deploy	aw-deploy	platform-infra:staging-deploy,platform-infra:deployment-strategies,platform-infra:production-readiness
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Set up the release automation, preview gates, and rollback path for this service deployment.	deploy;aw-deploy;ci-cd-and-automation	Release-automation work should resolve to aw-deploy with CI/CD craft support	deploy	aw-deploy	ci-cd-and-automation
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Take this Communities feed MFA change through PR creation and staging version deployment.	ship;aw-ship;deploy-versioned-mfa;staging-deploy	Frontend ship intent selects aw-ship plus versioned MFA deploy support	ship	aw-ship	deploy-versioned-mfa,platform-infra:staging-deploy,platform-infra:production-readiness
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Prepare the launch checklist, rollback notes, and monitoring plan for this release.	ship;aw-ship;documentation-and-adrs;ci-cd-and-automation	Launch-closeout work should stay in aw-ship with docs and CI/CD support	ship	aw-ship	documentation-and-adrs,ci-cd-and-automation
